url,UN/LOCODE,country,UN_code,ISO2,ISO3,city_or_location,port_name,local_port_name,lat,lon,authority_name,address,phone,fax,website,email
https://psma-gies.fao.org/designated-ports/view/220ad399-489f-4ca1-8b3d-72766d32e920,–,Thailand,764,TH,THA,"50 Moo 4, Bangchak, Phra Pradaeng, Samut Prakan 10130",23A Port,–,–,–,Fishery Inspection Regional Center 3 (Bangkok),"Pat-Sa-Du building, Floor 2 , Thai Port, Kwang Khlong Toei, Khet Khlong Toei, Bangkok",+66 26718794,+66 26727901,–,psmfishtrade@gmail.com
https://psma-gies.fao.org/designated-ports/view/61644bbd-b9b3-415f-aa19-309558169fef,–,Thailand,764,TH,THA,"50 Moo 4, Bangchak, Phra Pradaeng, Samut Prakan 10130",23C Port,–,–,–,Fishery Inspection Regional Center 3 (Bangkok),"Pat-Sa-Du building, Floor 2 , Thai Port, Kwang Khlong Toei, Khet Khlong Toei, Bangkok",+66 26718794,+66 26727901,–,psmfishtrade@gmail.com
https://psma-gies.fao.org/designated-ports/view/43fb997c-2b4c-405a-90ed-55d4aeeb3f96,–,Thailand,764,TH,THA,"185 Bang Pakok, Rat Burana, Bangkok 10140",33A-B port,–,–,–,Fishery Inspection Regional Center 3 (Bangkok),"Pat-Sa-Du building, Floor 2 , Thai Port, Kwang Khlong Toei, Khet Khlong Toei, Bangkok",+66 26718794,+66 26727901,–,psmfishtrade@gmail.com
https://psma-gies.fao.org/designated-ports/view/32dad0d9-993b-478a-9d9e-466225f63bf9,–,Spain,724,ES,ESP,GALICIA,A CORUÑA,–,N43°21'24'',W8°23'20'',"SUBDIRECCIÓN GENERAL DE VIGILANCIA PESQUERA Y LUCHA CONTRA LA PESCA ILEGAL  (SECRETARIA GENERAL DE PESCA) MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",Calle Velázquez nº147 28071 - Madrid España,+34 913471949,+34 913471512,–,iuu_slo_esp@mapama.es
https://psma-gies.fao.org/designated-ports/view/24e79ff8-947c-477a-9c62-5b7adcec371d,–,Spain,724,ES,ESP,GALICIA,A POBRA DO CARAMIÑAL,–,N42°36'24'',W8°56'13'',"SUBDIRECCIÓN GENERAL DE VIGILANCIA PESQUERA Y LUCHA CONTRA LA PESCA ILEGAL  (SECRETARIA GENERAL DE PESCA) MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",Calle Velázquez nº147 28071 - Madrid España,+34 913471949,+34 913471512,–,iuu_slo_esp@mapama.es
https://psma-gies.fao.org/designated-ports/view/3c859a76-baab-4b1d-b66b-4d2390f2110b,–,Denmark,208,DK,DNK,Aalborg,Aalborg,–,N57°3'18'',E9°59'12'',Port of Aalborg,–,+45 99301500,–,–,info@aalborghavn.dk
https://psma-gies.fao.org/designated-ports/view/e96ab76a-65c7-4ceb-a2d1-ada66fbd88ed,–,Denmark,208,DK,DNK,Aarhus,Aarhus,Aarhus havn,N56°9'0'',E10°13'7'',–,"Vandvejen 7, DK-8000 Aarhus C",+45 86133266,–,–,port@portofaarhus.dk
https://psma-gies.fao.org/designated-ports/view/ea67a2be-fa58-45e4-9119-f69fbec6b5fd,–,United Kingdom,826,GB,GBR,Aberdeen,Aberdeen Harbour,–,–,–,Aberdeen Harbour,Harbour Office  16 Regent Quay  Aberdeen,+44 1224 597000,+44 01224 571507,–,info@aberdeen-harbour.co.uk
https://psma-gies.fao.org/designated-ports/view/eceef9ef-f48f-4263-95dd-4afc39188233,–,Türkiye,792,TR,TUR,KARATAŞ-ADANA,ADANA KARATAŞ FISHING PORT,ADANA KARATAŞ BALIKÇI BARINAĞI,N36°33'28'',E35°22'55'',–,Karşıyaka mah. Sahil cd. Balıkçı barınağı içi Karataş/Adana,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/903d08e6-055c-4833-b130-72134388f825,–,Morocco,504,MA,MAR,MAROC,AGADIR ,–,N30°25'0'',W9°48'0'',Délégation des Pêches Maritimes  d’Agadir,Nouveau port Anza Code postal 35S Agadir,2.12529E+11,2.12529E+11,–,elmustapha.ouchkeni@mpm.gov.ma
https://psma-gies.fao.org/designated-ports/view/fb6042e8-01be-48a2-833e-9d783db970e9,–,Russian Federation,643,RU,RUS,the Republic of Bashkortostan,Agidel,–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/fa71f197-e522-45e6-8671-11e071e52e32,–,Australia,36,AU,AUS,Albany,Albany Port,–,S35°1'59'',E117°52'59'',Southern Ports Authority,85 Brunswick Road  Albany WA 6330,+61 8 9892 9000,–,–,enquiries.albany@southernports.com.au
https://psma-gies.fao.org/designated-ports/view/20ca033c-0d72-4b20-8aa2-ebad94f15165,–,Spain,724,ES,ESP,ANDALUCIA,ALGECIRAS,–,N36°8'9'',W5°26'34'',"SUBDIRECCIÓN GENERAL DE VIGILANCIA PESQUERA Y LUCHA CONTRA LA PESCA ILEGAL  (SECRETARIA GENERAL DE PESCA) MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",Calle Velázquez nº147 28071 - Madrid España    ,+34 913471949,+34 913471512,–,iuu_slo_esp@mapama.es
